NC_000853.1	Thermotoga maritima
NC_016010.1	Xanthomonas axonopodis
NC_016011.1	Listeria ivanovii
NC_016012.1	Candidatus Arthromitus
NC_016023.1	Bacillus coagulans
NC_016024.1	Chloracidobacterium thermophilum
NC_016025.1	Chloracidobacterium thermophilum
NC_016026.1	Micavibrio aeruginosavorus
NC_016027.1	Komagataeibacter medellinensis
NC_016041.1	Glaciecola nitratireducens
NC_016043.1	Taylorella asinigenitalis
NC_016047.1	Bacillus subtilis
NC_016048.1	Oscillibacter valericigenes
NC_016050.1	Rickettsia japonica
NC_016052.1	Tetragenococcus halophilus
NC_016077.1	Acidaminococcus intestini
NC_016078.1	Pelagibacterium halotolerans
NC_016109.1	Kitasatospora setae
NC_016111.1	Streptomyces cattleya
NC_016112.1	Methylomicrobium alcaliphilum
NC_016114.1	Streptomyces pratensis
NC_016147.2	Pseudoxanthomonas spadix
NC_016148.1	Thermovirga lienii
NC_016445.1	Vibrio cholerae
NC_016446.1	Vibrio cholerae
NC_016510.2	Flavobacterium columnare
NC_016511.1	Propionibacterium acnes
NC_016512.1	Propionibacterium acnes
NC_016514.1	Enterobacter cloacae
NC_016516.1	Propionibacterium acnes
NC_016582.1	Streptomyces bingchenggensis
NC_016584.1	Desulfosporosinus orientis
NC_016589.1	Burkholderia sp.
NC_016590.1	Burkholderia sp.
NC_016593.1	Geobacillus thermoleovorans
NC_016599.1	Owenweeksia hongkongensis
NC_016602.1	Vibrio furnissii
NC_016603.1	Acinetobacter pittii
NC_016604.1	Mycobacterium rhodesiae
NC_016605.1	Pediococcus claussenii
NC_016609.1	Niastella koreensis
NC_016610.1	Tannerella forsythia
NC_016612.1	Klebsiella michiganensis
NC_016613.1	Vibrio sp.
NC_016614.1	Vibrio sp.
NC_016616.1	Dechlorosoma suillum
NC_016622.1	Azospirillum lipoferum
NC_016625.1	Burkholderia sp.
NC_016627.1	[Clostridium] clariflavum
NC_016628.1	Vibrio furnissii
NC_016629.1	Desulfovibrio africanus
NC_016630.1	Filifactor alocis
NC_016631.1	Granulicella mallensis
NC_016633.1	Sphaerochaeta pleomorpha
NC_016639.1	Rickettsia slovaca
NC_016641.1	Paenibacillus terrae
NC_016745.1	Oceanimonas sp.
NC_016749.1	Streptococcus macedonicus
NC_016751.1	Marinitoga piezophila
NC_016768.1	Mycobacterium tuberculosis
NC_016771.1	Bacillus cereus
NC_016775.1	Brucella suis
NC_016777.1	Brucella abortus
NC_016778.1	Brucella canis
NC_016779.1	Bacillus cereus
NC_016781.1	Corynebacterium pseudotuberculosis
NC_016782.1	Corynebacterium diphtheriae
NC_016783.1	Corynebacterium diphtheriae
NC_016784.1	Bacillus amyloliquefaciens
NC_016785.1	Corynebacterium diphtheriae
NC_016786.1	Corynebacterium diphtheriae
NC_016787.1	Corynebacterium diphtheriae
NC_016788.1	Corynebacterium diphtheriae
NC_016789.1	Corynebacterium diphtheriae
NC_016790.1	Corynebacterium diphtheriae
NC_016791.1	Clostridium sp.
NC_016795.1	Brucella abortus
NC_016796.1	Brucella canis
NC_016797.1	Brucella suis
NC_016799.1	Corynebacterium diphtheriae
NC_016800.1	Corynebacterium diphtheriae
NC_016801.1	Corynebacterium diphtheriae
NC_016802.1	Corynebacterium diphtheriae
NC_016803.1	Desulfovibrio desulfuricans
NC_016804.1	Mycobacterium bovis
NC_016805.3	Leuconostoc mesenteroides
NC_016808.1	Pasteurella multocida
NC_016810.1	Salmonella enterica
NC_016811.1	Legionella pneumophila
NC_016816.1	Pantoea ananatis
NC_016826.1	Streptococcus infantarius
NC_016829.1	Mycoplasma hyorhinis
NC_016830.1	Pseudomonas fluorescens
NC_016832.1	Salmonella enterica
NC_016845.1	Klebsiella pneumoniae
NC_016854.1	Salmonella enterica
NC_016856.1	Salmonella enterica
NC_016857.1	Salmonella enterica
NC_016860.1	Salmonella enterica
NC_016863.1	Salmonella enterica
NC_016887.1	Nocardia cyriacigeorgica
NC_016894.1	Acetobacterium woodii
NC_016901.1	Shewanella baltica
NC_016902.1	Escherichia coli
NC_016906.1	Gordonia polyisoprenivorans
NC_016908.1	Rickettsia rickettsii
NC_016909.1	Rickettsia rickettsii
NC_016912.1	Staphylococcus aureus
NC_016913.1	Rickettsia rickettsii
NC_016914.1	Rickettsia rickettsii
NC_016915.1	Rickettsia rickettsii
NC_016928.1	Staphylococcus aureus
NC_016929.1	Rickettsia canadensis
NC_016930.1	Rickettsia philipii
NC_016932.1	Corynebacterium pseudotuberculosis
NC_016935.1	Paenibacillus mucilaginosus
NC_016937.1	Francisella tularensis
NC_016938.1	Melissococcus plutonius
NC_016940.1	Saprospira grandis
NC_016941.1	Staphylococcus argenteus
NC_016943.1	Blastococcus saxobsidens
NC_016944.1	Vibrio cholerae
NC_016945.1	Vibrio cholerae
NC_016946.1	Mycobacterium intracellulare
NC_016947.1	Mycobacterium intracellulare
NC_016948.1	Mycobacterium intracellulare
NC_017022.1	Enterococcus faecium
NC_017025.1	Flavobacterium indicum
NC_017027.1	Pasteurella multocida
NC_017028.1	Rickettsia amblyommatis
NC_017030.1	Corallococcus coralloides
NC_017031.1	Corynebacterium pseudotuberculosis
NC_017033.1	Frateuria aurantia
NC_017038.1	Synechocystis sp.
NC_017039.1	Synechocystis sp.
NC_017040.1	Streptococcus pyogenes
NC_017042.1	Rickettsia rhipicephali
NC_017043.1	Rickettsia montanensis
NC_017044.1	Rickettsia parkeri
NC_017045.1	Riemerella anatipestifer
NC_017046.1	Salmonella enterica
NC_017047.1	Rahnella aquatilis
NC_017048.1	Rickettsia prowazekii
NC_017049.1	Rickettsia prowazekii
NC_017050.1	Rickettsia prowazekii
NC_017052.1	Synechocystis sp.
NC_017053.1	Streptococcus pyogenes
NC_017056.1	Rickettsia prowazekii
NC_017057.1	Rickettsia prowazekii
NC_017058.1	Rickettsia australis
NC_017061.1	Bacillus amyloliquefaciens
NC_017063.1	Helicobacter pylori
NC_017065.1	Rickettsia slovaca
NC_017067.1	Marinobacter hydrocarbonoclasticus
NC_017068.1	Selenomonas ruminantium
NC_017075.1	Rubrivivax gelatinosus
NC_017079.1	Caldilinea aerophila
NC_017080.1	Phycisphaera mikurensis
NC_017082.1	Bradyrhizobium sp.
NC_017093.1	Actinoplanes missouriensis
NC_017094.1	Leptospirillum ferrooxidans
NC_017095.1	Fervidobacterium pennivorans
NC_017096.1	Caldisericum exile
NC_017098.1	Spirochaeta africana
NC_017100.1	Acetobacter pasteurianus
NC_017108.1	Acetobacter pasteurianus
NC_017111.1	Acetobacter pasteurianus
NC_017121.1	Acetobacter pasteurianus
NC_017125.1	Acetobacter pasteurianus
NC_017138.1	Bacillus megaterium
NC_017146.1	Acetobacter pasteurianus
NC_017150.1	Acetobacter pasteurianus
NC_017154.1	Yersinia pestis
NC_017160.1	Yersinia pestis
NC_017161.1	Hydrogenobacter thermophilus
NC_017162.1	Acinetobacter baumannii
NC_017167.1	Alicyclobacillus acidocaldarius
NC_017168.1	Yersinia pestis
NC_017171.1	Acinetobacter baumannii
NC_017174.1	Clostridium difficile
NC_017186.1	Amycolatopsis mediterranei
NC_017187.1	Arcobacter butzleri
NC_017188.1	Bacillus amyloliquefaciens
NC_017190.1	Bacillus amyloliquefaciens
NC_017191.1	Bacillus amyloliquefaciens
NC_017192.1	Arcobacter sp.
NC_017195.1	Bacillus subtilis
NC_017196.2	Bacillus subtilis
NC_017200.1	Bacillus thuringiensis
NC_017214.1	Bifidobacterium animalis
NC_017215.1	Bifidobacterium animalis
NC_017216.2	Bifidobacterium animalis
NC_017217.1	Bifidobacterium animalis
NC_017218.1	Bifidobacterium breve
NC_017219.1	Bifidobacterium longum
NC_017221.1	Bifidobacterium longum
NC_017223.1	Bordetella pertussis
NC_017238.1	Borrelia afzelii
NC_017243.1	Brachyspira intermedia
NC_017244.1	Brucella melitensis
NC_017245.1	Brucella melitensis
NC_017246.1	Brucella melitensis
NC_017247.1	Brucella melitensis
NC_017248.1	Brucella melitensis
NC_017249.1	Bradyrhizobium japonicum
NC_017250.1	Brucella suis
NC_017251.1	Brucella suis
NC_017252.1	Buchnera aphidicola
NC_017262.1	Zymomonas mobilis
NC_017265.1	Yersinia pestis
NC_017267.2	Xanthomonas oryzae
NC_017271.1	Xanthomonas campestris
NC_017272.1	Thermus thermophilus
NC_017277.1	Synechocystis sp.
NC_017278.1	Thermus sp.
NC_017279.1	Campylobacter jejuni
NC_017280.1	Campylobacter jejuni
NC_017281.1	Campylobacter jejuni
NC_017283.1	Brucella melitensis
NC_017294.1	Candidatus Arthromitus
NC_017295.1	Clostridium acetobutylicum
NC_017297.1	Clostridium botulinum
NC_017299.1	Clostridium botulinum
NC_017300.1	Corynebacterium pseudotuberculosis
NC_017301.1	Corynebacterium pseudotuberculosis
NC_017304.1	Ruminiclostridium thermocellum
NC_017305.1	Corynebacterium pseudotuberculosis
NC_017306.1	Corynebacterium pseudotuberculosis
NC_017308.1	Corynebacterium pseudotuberculosis
NC_017309.1	Edwardsiella tarda
NC_017310.1	Desulfovibrio vulgaris
NC_017316.1	Enterococcus faecalis
NC_017317.1	Corynebacterium ulcerans
NC_017322.1	Sinorhizobium meliloti
NC_017325.1	Sinorhizobium meliloti
NC_017331.1	Staphylococcus aureus
NC_017333.1	Staphylococcus aureus
NC_017337.1	Staphylococcus aureus
NC_017338.1	Staphylococcus aureus
NC_017340.1	Staphylococcus aureus
NC_017341.1	Staphylococcus aureus
NC_017342.1	Staphylococcus aureus
NC_017343.1	Staphylococcus aureus
NC_017347.1	Staphylococcus aureus
NC_017349.1	Staphylococcus aureus
NC_017351.1	Staphylococcus aureus
NC_017353.1	Staphylococcus lugdunensis
NC_017355.1	Helicobacter pylori
NC_017358.1	Helicobacter pylori
NC_017359.1	Helicobacter pylori
NC_017361.1	Helicobacter pylori
NC_017362.1	Helicobacter pylori
NC_017366.1	Helicobacter pylori
NC_017367.1	Helicobacter pylori
NC_017371.1	Helicobacter pylori
NC_017372.1	Helicobacter pylori
NC_017375.1	Helicobacter pylori
NC_017378.1	Helicobacter pylori
NC_017379.1	Helicobacter pylori
NC_017382.1	Helicobacter pylori
NC_017384.1	Ketogulonigenium vulgarum
NC_017403.1	Borrelia burgdorferi
NC_017429.1	Chlamydia trachomatis
NC_017430.1	Chlamydia trachomatis
NC_017431.1	Chlamydia trachomatis
NC_017432.1	Chlamydia trachomatis
NC_017434.1	Chlamydia trachomatis
NC_017436.1	Chlamydia trachomatis
NC_017439.1	Chlamydia trachomatis
NC_017440.1	Chlamydia trachomatis
NC_017441.1	Chlamydia trachomatis
NC_017445.1	Erwinia sp.
NC_017448.1	Fibrobacter succinogenes
NC_017449.1	Francisella cf.
NC_017450.1	Francisella cf.
NC_017451.1	Haemophilus influenzae
NC_017452.1	Haemophilus influenzae
NC_017453.1	Francisella tularensis
NC_017454.1	Geobacter sulfurreducens
NC_017455.1	Halanaerobium praevalens
NC_017456.1	Gardnerella vaginalis
NC_017462.1	Corynebacterium pseudotuberculosis
NC_017463.1	Francisella tularensis
NC_017464.1	Ignavibacterium album
NC_017465.1	Lactobacillus fermentum
NC_017467.1	Lactobacillus helveticus
NC_017469.1	Lactobacillus delbrueckii
NC_017470.1	Lactobacillus amylovorus
NC_017473.1	Lactobacillus casei
NC_017474.1	Lactobacillus casei
NC_017477.1	Lactobacillus johnsonii
NC_017482.1	Lactobacillus rhamnosus
NC_017486.1	Lactococcus lactis
NC_017490.1	Lactococcus garvieae
NC_017491.1	Lactobacillus rhamnosus
NC_017492.1	Lactococcus lactis
NC_017501.1	Neisseria meningitidis
NC_017502.1	Mycoplasma gallisepticum
NC_017503.1	Mycoplasma gallisepticum
NC_017505.1	Neisseria meningitidis
NC_017506.1	Marinobacter adhaerens
NC_017509.1	Mycoplasma hyopneumoniae
NC_017512.1	Neisseria meningitidis
NC_017513.1	Neisseria meningitidis
NC_017514.1	Neisseria meningitidis
NC_017515.1	Neisseria meningitidis
NC_017516.1	Neisseria meningitidis
NC_017517.1	Neisseria meningitidis
NC_017518.1	Neisseria meningitidis
NC_017519.1	Mycoplasma hyorhinis
NC_017522.1	Mycobacterium tuberculosis
NC_017524.1	Mycobacterium tuberculosis
NC_017529.1	Listeria monocytogenes
NC_017530.1	Pseudomonas putida
NC_017531.2	Pantoea ananatis
NC_017532.1	Pseudomonas stutzeri
NC_017534.1	Propionibacterium acnes
NC_017535.1	Propionibacterium acnes
NC_017537.1	Listeria monocytogenes
NC_017538.1	Oligotropha carboxidovorans
NC_017540.1	Klebsiella pneumoniae
NC_017542.1	Paenibacillus polymyxa
NC_017544.1	Listeria monocytogenes
NC_017545.1	Listeria monocytogenes
NC_017546.1	Listeria monocytogenes
NC_017547.1	Listeria monocytogenes
NC_017548.1	Pseudomonas aeruginosa
NC_017549.1	Pseudomonas aeruginosa
NC_017550.1	Propionibacterium acnes
NC_017551.1	Leptospira interrogans
NC_017552.1	Leptospira interrogans
NC_017554.1	Pantoea ananatis
NC_017560.1	Rickettsia prowazekii
NC_017562.1	Xylella fastidiosa
NC_017563.1	Streptococcus thermophilus
NC_017566.1	Shewanella putrefaciens
NC_017567.1	Streptococcus dysgalactiae
NC_017568.1	Staphylococcus pseudintermedius
NC_017569.1	Riemerella anatipestifer
NC_017571.1	Shewanella baltica
NC_017573.1	Serratia sp.
NC_017574.1	Ralstonia solanacearum
NC_017576.1	Streptococcus gallolyticus
NC_017579.1	Shewanella baltica
NC_017581.1	Streptococcus thermophilus
NC_017582.1	Streptococcus equi
NC_017583.1	Spirochaeta thermophila
NC_017584.1	Rhodospirillum rubrum
NC_017586.1	Streptomyces cattleya
NC_017587.1	Thermus thermophilus
NC_017592.1	Streptococcus pneumoniae
NC_017595.1	Streptococcus salivarius
NC_017596.1	Streptococcus pyogenes
NC_017617.1	Streptococcus suis
NC_017618.1	Streptococcus suis
NC_017619.1	Streptococcus suis
NC_017620.1	Streptococcus suis
NC_017621.1	Streptococcus suis
NC_017622.1	Streptococcus suis
NC_017623.1	Salmonella enterica
NC_017625.1	Escherichia coli
NC_017626.1	Escherichia coli
NC_017628.1	Escherichia coli
NC_017631.1	Escherichia coli
NC_017632.1	Escherichia coli
NC_017633.1	Escherichia coli
NC_017634.1	Escherichia coli
NC_017635.1	Escherichia coli
NC_017638.1	Escherichia coli
NC_017641.1	Escherichia coli
NC_017646.1	Escherichia coli
NC_017651.1	Escherichia coli
NC_017652.1	Escherichia coli
NC_017656.1	Escherichia coli
NC_017660.1	Escherichia coli
NC_017664.1	Escherichia coli
NC_017668.1	Halobacillus halophilus
NC_017671.1	Stenotrophomonas maltophilia
NC_017672.3	Paenibacillus mucilaginosus
NC_017728.1	Listeria monocytogenes
NC_017729.1	Bacillus anthracis
NC_017730.3	Corynebacterium pseudotuberculosis
NC_017731.1	Providencia stuartii
NC_017733.1	Helicobacter pylori
NC_017735.1	Helicobacter cetorum
NC_017737.1	Helicobacter cetorum
NC_017739.1	Helicobacter pylori
NC_017740.1	Helicobacter pylori
NC_017741.1	Helicobacter pylori
NC_017742.1	Helicobacter pylori
NC_017743.1	Bacillus sp.
NC_017761.1	Helicobacter cinaedi
NC_017763.1	Staphylococcus aureus
NC_017764.1	Pasteurella multocida
NC_017765.1	Streptomyces hygroscopicus
NC_017768.1	Streptococcus mutans
NC_017769.2	Streptococcus pneumoniae
NC_017770.1	Solitalea canadensis
NC_017790.1	Deinococcus gobiensis
NC_017803.1	Actinoplanes sp.
NC_017831.1	Burkholderia pseudomallei
NC_017832.1	Burkholderia pseudomallei
NC_017834.1	Bifidobacterium animalis
NC_017845.1	Pectobacterium parmentieri
NC_017847.1	Acinetobacter baumannii
NC_017856.1	Methylophaga frappieri
NC_017860.1	Prevotella intermedia
NC_017861.1	Prevotella intermedia
NC_017866.1	Bifidobacterium animalis
NC_017867.1	Bifidobacterium animalis
NC_017904.1	Mycobacterium sp.
NC_017905.1	Streptococcus parasanguinis
NC_017906.1	Escherichia coli
NC_017910.1	Shimwellia blattae
NC_017911.1	Pseudomonas fluorescens
NC_017912.1	Bacillus amyloliquefaciens
NC_017920.1	Burkholderia sp.
NC_017921.1	Burkholderia sp.
NC_017922.1	Burkholderia sp.
NC_017927.1	Streptococcus thermophilus
NC_017933.1	Cronobacter sakazakii
NC_017934.1	Mesotoga prima
NC_017945.2	Corynebacterium pseudotuberculosis
NC_017949.1	Lactococcus lactis
NC_017950.1	Streptococcus suis
NC_017951.1	Chlamydia trachomatis
NC_017952.1	Chlamydia trachomatis
NC_017953.1	Chlamydia trachomatis
NC_017955.1	Modestobacter marinus
NC_017956.1	Tistrella mobilis
NC_017960.1	Enterococcus faecium
NC_017964.1	Advenella kashmirensis
NC_017986.1	Pseudomonas putida
NC_017999.1	Bifidobacterium bifidum
NC_018002.1	Sulfurospirillum barnesii
NC_018010.1	Belliella baltica
NC_018011.1	Alistipes finegoldii
NC_018012.1	Thiocystis violascens
NC_018013.1	Aequorivita sublithincola
NC_018014.1	Terriglobus roseus
NC_018016.1	Ornithobacterium rhinotracheale
NC_018017.1	Desulfitobacterium dehalogenans
NC_018018.1	Bernardetia litoralis
NC_018020.1	Turneriella parva
NC_018024.1	Acetomicrobium mobile
NC_018025.1	Desulfomonile tiedjei
NC_018027.1	Mycobacterium chubuense
NC_018028.1	Pseudomonas stutzeri
NC_018065.1	Solibacillus silvestris
NC_018068.1	Desulfosporosinus acidiphilus
NC_018073.1	Streptococcus intermedius
NC_018077.1	Mycoplasma bovis
NC_018078.1	Mycobacterium tuberculosis
NC_018079.1	Enterobacter cloacae
NC_018080.1	Pseudomonas aeruginosa
NC_018081.1	Enterococcus hirae
NC_018089.1	Streptococcus mutans
NC_018101.1	Corynebacterium ulcerans
NC_018106.1	Klebsiella michiganensis
NC_018108.1	Taylorella equigenitalis
NC_018139.1	Legionella pneumophila
NC_018140.1	Legionella pneumophila
NC_018142.1	Pseudopropionibacterium propionicum
NC_018143.2	Mycobacterium tuberculosis
NC_018145.1	Zymomonas mobilis
NC_018150.2	Mycobacterium abscessus
NC_018177.1	Pseudomonas stutzeri
NC_018178.1	Melioribacter roseus
NC_018221.1	Enterococcus faecalis
NC_018266.1	Amycolatopsis mediterranei
NC_018268.1	Marinobacter sp.
NC_018286.1	Phaeobacter inhibens
NC_018289.1	Mycobacterium smegmatis
NC_018290.1	Phaeobacter inhibens
NC_018405.1	Enterobacter cloacae
NC_018406.1	Mycoplasma gallisepticum
NC_018407.1	Mycoplasma gallisepticum
NC_018408.1	Mycoplasma gallisepticum
NC_018409.1	Mycoplasma gallisepticum
NC_018410.1	Mycoplasma gallisepticum
NC_018411.1	Mycoplasma gallisepticum
NC_018412.1	Mycoplasma gallisepticum
NC_018413.1	Mycoplasma gallisepticum
NC_018419.1	Secondary endosymbiont
NC_018485.1	Methylocystis sp.
NC_018491.1	Bacillus cereus
NC_018500.1	Bacillus thuringiensis
NC_018508.1	Bacillus thuringiensis
NC_018513.1	Burkholderia cepacia
NC_018514.1	Burkholderia cepacia
NC_018515.1	Desulfosporosinus meridiei
NC_018518.1	Bordetella pertussis
NC_018520.1	Bacillus subtilis
NC_018521.1	Campylobacter jejuni
NC_018522.1	Klebsiella pneumoniae
NC_018524.1	Nocardiopsis alba
NC_018525.1	Pectobacterium carotovorum
NC_018526.1	Streptococcus suis
NC_018527.1	Burkholderia pseudomallei
NC_018528.1	Lactobacillus helveticus
NC_018529.1	Burkholderia pseudomallei
NC_018531.1	Arthrobacter sp.
NC_018581.1	Gordonia sp.
NC_018605.1	Cardinium endosymbiont
NC_018607.1	Brachyspira pilosicoli
NC_018608.1	Staphylococcus aureus
NC_018609.1	Riemerella anatipestifer
NC_018610.1	Lactobacillus buchneri
NC_018612.1	Mycobacterium indicus
NC_018630.1	Streptococcus pneumoniae
NC_018631.1	Leuconostoc gelidum
NC_018632.1	Alteromonas macleodii
NC_018641.1	Lactobacillus casei
NC_018643.1	Alpha proteobacterium
NC_018644.1	Alpha proteobacterium
NC_018645.1	Desulfobacula toluolica
NC_018646.1	Streptococcus agalactiae
NC_018648.1	Clostridium botulinum
NC_018649.1	Leptospirillum ferriphilum
NC_018650.1	Escherichia coli
NC_018658.1	Escherichia coli
NC_018661.1	Escherichia coli
NC_018664.1	Gottschalkia acidurici
NC_018665.1	Exiguobacterium antarcticum
NC_018672.1	Paraburkholderia phenoliruptrix
NC_018673.1	Leuconostoc carnosum
NC_018678.1	Alteromonas macleodii
NC_018679.1	Alteromonas macleodii
NC_018681.1	Nocardia brasiliensis
NC_018691.1	Alcanivorax dieselolei
NC_018692.1	Alteromonas macleodii
NC_018693.1	Bacillus thuringiensis
NC_018695.1	Paraburkholderia phenoliruptrix
NC_018697.1	Cycloclasticus sp.
NC_018700.1	Sinorhizobium meliloti
NC_018704.1	Amphibacillus xylanus
NC_018706.1	Acinetobacter baumannii
NC_018707.1	Propionibacterium acnes
NC_018708.1	Acidovorax sp.
NC_018709.4	Campylobacter jejuni
NC_018712.1	Streptococcus dysgalactiae
NC_018720.1	Bifidobacterium asteroides
NC_018721.1	Psychroflexus torquis
NC_018828.1	Bordetella parapertussis
NC_018829.1	Bordetella bronchiseptica
NC_018866.1	Dehalobacter sp.
NC_018867.1	Dehalobacter sp.
NC_018868.3	Simiduia agarivorans
NC_018870.1	Thermacetogenium phaeum
NC_018877.1	Bacillus thuringiensis
NC_018887.1	Borrelia afzelii
NC_018936.1	Streptococcus pyogenes
NC_018937.1	Helicobacter pylori
NC_018938.1	Helicobacter pylori
NC_018939.1	Helicobacter pylori
NC_019042.1	Streptococcus dysgalactiae
NC_019382.1	Bordetella bronchiseptica
NC_019386.1	Thermus oshimai
NC_019393.1	Alteromonas mediterranea
NC_019395.1	Acidipropionibacterium acidipropionici
NC_019396.1	Gluconobacter oxydans
NC_019425.2	Carnobacterium maltaromaticum
NC_019427.1	Anabaena sp.
NC_019435.1	Lactococcus lactis
NC_019439.1	Anabaena sp.
NC_019537.1	Francisella tularensis
NC_019551.1	Francisella tularensis
NC_019552.1	Mycoplasma hyorhinis
NC_019556.1	Listeria monocytogenes
NC_019560.1	Helicobacter pylori
NC_019567.1	Bdellovibrio bacteriovorus
NC_019670.1	Pseudomonas sp.
NC_019673.1	Saccharothrix espanaensis
NC_019675.1	Cyanobium gracile
NC_019676.1	Nostoc sp.
NC_019678.1	Rivularia sp.
NC_019680.1	Synechococcus sp.
NC_019682.1	Calothrix sp.
NC_019683.1	Leptolyngbya sp.
NC_019684.1	Nostoc sp.
NC_019689.1	Pleurocapsa sp.
NC_019693.1	Oscillatoria acuminata
NC_019695.1	Chroococcidiopsis thermalis
NC_019701.1	Pseudanabaena sp.
NC_019702.1	Synechococcus sp.
NC_019703.1	Geitlerinema sp.
NC_019729.1	Oscillatoria nigro-viridis
NC_019738.1	Microcoleus sp.
NC_019745.1	Gloeocapsa sp.
NC_019748.1	Stanieria cyanosphaera
NC_019751.1	Calothrix sp.
NC_019753.1	Crinalium epipsammum
NC_019770.1	Enterococcus faecalis
NC_019771.1	Anabaena cylindrica
NC_019776.1	Cyanobacterium aponinum
NC_019779.1	Halothece sp.
NC_019780.1	Dactylococcopsis salina
NC_019793.1	Deinococcus peraridilitoris
NC_019815.1	Candidatus Kinetoplastibacterium
NC_019842.1	Bacillus velezensis
NC_019845.2	Sinorhizobium meliloti
NC_019892.1	Singulisphaera acidiphila
NC_019896.1	Bacillus subtilis
NC_019897.1	Thermobacillus composti
NC_019902.2	Thioalkalivibrio nitratireducens
NC_019903.1	Desulfitobacterium dichloroeliminans
NC_019904.1	Echinicola vietnamensis
NC_019905.1	Pseudomonas putida
NC_019907.1	Liberibacter crescens
NC_019908.1	Brachyspira pilosicoli
NC_019936.1	Pseudomonas stutzeri
NC_019940.1	Thioflavicoccus mobilis
NC_019949.1	Mycoplasma cynos
NC_019954.2	Tepidanaerobacter acetatoxydans
NC_019955.1	Vibrio parahaemolyticus
NC_019960.1	Prevotella dentalis
NC_019966.1	Mycobacterium sp.
NC_019968.1	Prevotella dentalis
NC_019970.1	Thermoanaerobacterium thermosaccharolyticum
NC_019971.1	Vibrio parahaemolyticus
NC_019973.1	Mesorhizobium australicum
NC_019978.1	Halobacteroides halobius
NC_020059.1	Rhizobium tropici
NC_020063.1	Enterobacteriaceae bacterium
NC_020064.1	Serratia sp.
NC_020089.1	Mycobacterium tuberculosis
NC_020125.1	Riemerella anatipestifer
NC_020126.1	Myxococcus stipitatus
NC_020127.1	Lawsonia intracellularis
NC_020133.1	Mycobacterium liflandii
NC_020134.1	[Clostridium] stercorarium
NC_020156.1	Nonlabens dokdonensis
NC_020163.1	Escherichia coli
NC_020164.1	Staphylococcus warneri
NC_020181.1	Enterobacter aerogenes
NC_020207.1	Enterococcus faecium
NC_020209.1	Pseudomonas poae
NC_020210.1	Geobacillus sp.
NC_020211.1	Serratia marcescens
NC_020229.1	Lactobacillus plantarum
NC_020230.1	Corynebacterium urealyticum
NC_020238.1	Bacillus thuringiensis
NC_020244.1	Bacillus subtilis
NC_020245.2	Mycobacterium bovis
NC_020260.1	Cronobacter sakazakii
NC_020272.1	Bacillus amyloliquefaciens
NC_020283.1	Candidatus Kinetoplastibacterium
NC_020286.1	Synechocystis sp.
NC_020291.1	Clostridium saccharoperbutylacetonicum
NC_020294.1	Candidatus Kinetoplastibacterium
NC_020299.1	Candidatus Kinetoplastibacterium
NC_020300.1	Bartonella australis
NC_020301.1	Bartonella vinsonii
NC_020302.1	Corynebacterium halotolerans
NC_020304.1	Desulfocapsa sulfexigens
NC_020307.1	Salmonella enterica
NC_020376.1	Bacillus thuringiensis
NC_020386.1	Dehalococcoides mccartyi
NC_020387.1	Dehalococcoides mccartyi
NC_020410.1	Bacillus amyloliquefaciens
NC_020411.1	Hydrogenobaculum sp.
NC_020417.1	Beta proteobacterium
NC_020418.1	Morganella morganii
NC_020419.1	Uncultured Termite
NC_020450.1	Lactococcus lactis
NC_020453.1	Bradyrhizobium oligotrophicum
NC_020506.1	Corynebacterium callunae
NC_020507.1	Bacillus subtilis
NC_020508.1	Helicobacter pylori
NC_020509.1	Helicobacter pylori
NC_020514.1	Paraglaciecola psychrophila
NC_020515.1	Bibersteinia trehalosi
NC_020516.1	Azoarcus sp.
NC_020517.1	Bifidobacterium breve
NC_020518.1	Escherichia coli
NC_020519.1	Corynebacterium glutamicum
NC_020521.1	Legionella pneumophila
NC_020526.1	Streptococcus suis
NC_020528.1	Sinorhizobium meliloti
NC_020529.1	Staphylococcus aureus
NC_020532.1	Staphylococcus aureus
NC_020533.1	Staphylococcus aureus
NC_020536.1	Staphylococcus aureus
NC_020537.1	Staphylococcus aureus
NC_020540.2	Streptococcus pyogenes
NC_020541.1	Rhodanobacter denitrificans
NC_020546.1	Bifidobacterium thermophilum
NC_020547.2	Acinetobacter baumannii
NC_020549.1	Candidatus Liberibacter
NC_020555.1	Helicobacter cinaedi
NC_020559.1	Mycobacterium tuberculosis
NC_020561.1	Sphingomonas sp.
NC_020564.1	Staphylococcus aureus
NC_020566.1	Staphylococcus aureus
NC_020568.1	Staphylococcus aureus
NC_020796.1	Edwardsiella piscicida
NC_020800.1	Xanthomonas axonopodis
NC_020802.1	Psychromonas sp.
NC_020812.1	Micavibrio aeruginosavorus
NC_020813.1	Bdellovibrio exovorus
NC_020814.1	Hydrogenobaculum sp.
NC_020815.1	Xanthomonas citri
NC_020819.1	Lactobacillus brevis
NC_020829.1	Pseudomonas denitrificans
NC_020830.1	Polaribacter sp.
NC_020832.1	Bacillus subtilis
NC_020887.2	[Clostridium] stercorarium
NC_020888.1	Thalassolituus oleivorans
NC_020891.1	Clavibacter michiganensis
NC_020895.1	Streptomyces hygroscopicus
NC_020908.1	Octadecabacter arcticus
NC_020911.1	Octadecabacter antarcticus
NC_020912.1	Pseudomonas aeruginosa
