#ID	ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	REFERENCE	DETECTION
547	NC_010612.1	Mycobacterium marinum M	4187670	4211784				
548	NC_010084.1	Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence.	2124615	2138869				
549	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	2189400	2193980				
550	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1698670	1709109				
551	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	788188	797664				
552	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2526234	2533900				
553	NC_010102.1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4519944	4528741				
554	NC_009485.1	Bradyrhizobium sp. BTAi1	7682357	7688216				
555	NC_002695.1	Escherichia coli O157:H7 str. Sakai	5348018	5357323				
556	NC_009438.1	Shewanella putrefaciens CN-32	2341209	2364953				
557	NC_009438.1	Shewanella putrefaciens CN-32	243880	261527				
558	NC_009801.1	Escherichia coli E24377A	3328171	3341172				
559	NC_008577.1		2420770	2435556				islandpick=100.0;SIGI-HMM=65.9;Centroid=21.9;DIMOB=0.0;PAI_IDA=100.0;DINUC=57.8;Alien_Hunter=68.5
560	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	381054	403433			Hurley et al., 2006, BMC Genomics	
561	NC_009445.1	Bradyrhizobium sp. ORS278	2199955	2206757				
562	NC_008595.1	Mycobacterium avium 104	1916234	1925744				
563	NC_004431.1	Escherichia coli CFT073	258073	270993				
564	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	5327344	5343197				
565	NC_004741.1	Shigella flexneri 2a str. 2457T	2027467	2032530				
566	NC_009801.1	Escherichia coli E24377A	3371460	3397394				
567	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	4452088	4456515				
568	NC_004631.1		2745483	2754685				islandpick=100.0;SIGI-HMM=15.2;Centroid=0.0;DIMOB=99.4;PAI_IDA=0.0;DINUC=99.4;Alien_Hunter=100.0
569	NC_008463.1		2474709	2486276				islandpick=100.0;SIGI-HMM=3.2;Centroid=100.0;DIMOB=48.1;PAI_IDA=100.0;DINUC=48.1;Alien_Hunter=100.0
570	NC_009512.1	Pseudomonas putida F1	2200058	2204477				
571	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	2788140	2792283				
572	NC_010410.1	Acinetobacter baumannii AYE	3653762	3684134				
573	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	2554264	2573652				
574	NC_010501.1	Pseudomonas putida W619	3248217	3252950				
575	NC_010582.1	Streptococcus pneumoniae CGSP14	1560749	1567095				
576	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1866448	1872929				
577	NC_004431.1	Escherichia coli CFT073	4962128	4970128				
578	NC_008463.1		3778540	3794412				islandpick=100.0;SIGI-HMM=7.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=88.0;Alien_Hunter=0.0
579	NC_002947.3		4301440	4310594				islandpick=100.0;SIGI-HMM=81.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
580	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	3219047	3242361				
581	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	2963334	2980585				
582	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	917587	928471				
583	NC_003197.1		962584	977170				islandpick=100.0;SIGI-HMM=62.2;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=90.5;Alien_Hunter=97.2
584	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1812150	1817012				
585	NC_009997.1	Shewanella baltica OS195	4001015	4010905				
586	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1594404	1600979				
587	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	2576729	2580808				
588	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1657277	1663320				
589	NC_010322.1	Pseudomonas putida GB-1	3758918	3765772				
590	NC_002695.1	Escherichia coli O157:H7 str. Sakai	5038625	5083718				
591	NC_009485.1	Bradyrhizobium sp. BTAi1	8182399	8203265				
592	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1893084	1904049				
593	NC_002695.1	Escherichia coli O157:H7 str. Sakai	665644	674042				
594	NC_010612.1		3827667	3843032				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=62.4;Alien_Hunter=56.1
595	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2111879	2116630				
596	NC_010322.1	Pseudomonas putida GB-1	2922934	2927149				
597	NC_007946.1	Escherichia coli UTI89	1261315	1282326				
598	NC_009445.1	Bradyrhizobium sp. ORS278	5014526	5034239				
599	NC_009485.1		2721470	2733466				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
600	NC_007384.1	Shigella sonnei Ss046	2934085	2940390				
601	NC_006905.1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	2772172	2777703				
602	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	508094	517835				
603	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2346035	2350464				
604	NC_010612.1	Mycobacterium marinum M	4405711	4410957				
605	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1319444	1323503				
606	NC_009512.1	Pseudomonas putida F1	3064726	3075700				
607	NC_007793.1	Staphylococcus aureus subsp. aureus USA300	1550057	1577559				
608	NC_003198.1		1538737	1559415				islandpick=100.0;SIGI-HMM=17.8;Centroid=0.0;DIMOB=97.5;PAI_IDA=0.0;DINUC=97.5;Alien_Hunter=98.6
609	NC_010102.1		1004641	1020617				islandpick=100.0;SIGI-HMM=99.2;Centroid=0.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=81.0
610	NC_009512.1	Pseudomonas putida F1	3124001	3131085				
611	NC_008258.1	Shigella flexneri 5 str. 8401	2761985	2766364				
612	NC_004578.1		4516461	4529929				islandpick=100.0;SIGI-HMM=43.0;Centroid=0.0;DIMOB=78.2;PAI_IDA=0.0;DINUC=78.2;Alien_Hunter=56.2
613	NC_004631.1		4444521	4458443				islandpick=100.0;SIGI-HMM=62.5;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
614	NC_009342.1	Corynebacterium glutamicum R	2705658	2710344				
615	NC_007606.1	Shigella dysenteriae Sd197	3370381	3376512				
616	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1947482	1961580				
617	NC_010612.1	Mycobacterium marinum M	3756227	3762618				
618	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2987692	2996838				
619	NC_007005.1	Pseudomonas syringae pv. syringae B728a	5353522	5358485				
620	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	2046206	2088749			Baba et al., 2002, The Lancet	
621	NC_008577.1	Shewanella sp. ANA-3 chromosome 1, complete sequence.	2607369	2614687				
622	NC_010612.1	Mycobacterium marinum M	5433333	5447894				
623	NC_004431.1	Escherichia coli CFT073	1432368	1446932				
624	NC_009438.1	Shewanella putrefaciens CN-32	3799163	3811836				
625	NC_008750.1	Shewanella sp. W3-18-1	3350484	3366056				
626	NC_008595.1	Mycobacterium avium 104	751581	774650				
627	NC_010465.1	Yersinia pseudotuberculosis YPIII	1438618	1445947				
628	NC_009445.1		4938625	4953164				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=97.4
629	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	2980879	2988036				
630	NC_009445.1	Bradyrhizobium sp. ORS278	5393474	5403648				
631	NC_009445.1	Bradyrhizobium sp. ORS278	1398573	1406477				
632	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2249546	2254069				
633	NC_009800.1	Escherichia coli HS	2143074	2152284				
634	NC_002655.2		3002923	3014798				islandpick=100.0;SIGI-HMM=80.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=61.0;Alien_Hunter=64.0
635	NC_009445.1	Bradyrhizobium sp. ORS278	6661424	6670865				
636	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	3131717	3139414			Parkhill et al., 2001, Nature	
637	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	1138960	1149213				
638	NC_010322.1	Pseudomonas putida GB-1	5324068	5329350				
639	NC_009052.1	Shewanella baltica OS155	2113916	2122385				
640	NC_009512.1	Pseudomonas putida F1	4379970	4432014				
641	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2671067	2681817				
642	NC_008023.1		1063758	1120860				islandpick=100.0;SIGI-HMM=89.7;Centroid=0.0;DIMOB=12.2;PAI_IDA=78.8;DINUC=12.2;Alien_Hunter=100.0
643	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1859168	1867371				
644	NC_009485.1	Bradyrhizobium sp. BTAi1	5109374	5114875				
645	NC_009997.1		2525545	2534713				islandpick=100.0;SIGI-HMM=1.2;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=21.9;Alien_Hunter=88.8
646	NC_010498.1	Escherichia coli SECEC SMS-3-5	4414656	4419313				
647	NC_009487.1	Staphylococcus aureus subsp. aureus JH9	386957	393573				
648	NC_009438.1	Shewanella putrefaciens CN-32	4556490	4570120				
649	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	5326366	5332131				
650	NC_008577.1	Shewanella sp. ANA-3 chromosome 1, complete sequence.	194156	200017				
651	NC_009485.1	Bradyrhizobium sp. BTAi1	2605028	2618679				
652	NC_002947.3		4493111	4501310				islandpick=100.0;SIGI-HMM=77.2;Centroid=100.0;DIMOB=100.0;PAI_IDA=84.0;DINUC=100.0;Alien_Hunter=100.0
653	NC_010322.1	Pseudomonas putida GB-1	3651758	3658973				
654	NC_007946.1	Escherichia coli UTI89	1108048	1113986				
655	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2122128	2150230				
656	NC_010380.1	Streptococcus pneumoniae Hungary19A-6	66495	99217				
657	NC_005071.1	Prochlorococcus marinus str. MIT 9313	1669420	1677644				
658	NC_009512.1	Pseudomonas putida F1	5637971	5657451				
659	NC_009485.1		6640317	6651899				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
660	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	2926971	2936879				
661	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	3129483	3148616				
662	NC_004459.2		2030645	2042747				islandpick=100.0;SIGI-HMM=99.1;Centroid=100.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
663	NC_007778.1	Rhodopseudomonas palustris HaA2	4672694	4685836				
664	NC_009901.1	Shewanella pealeana ATCC 700345	1537165	1555075				
665	NC_010501.1		5745686	5753802				islandpick=100.0;SIGI-HMM=97.6;Centroid=100.0;DIMOB=97.6;PAI_IDA=100.0;DINUC=97.6;Alien_Hunter=100.0
666	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1085337	1092563			Parkhill et al., 2001, Nature	
667	NC_010322.1		5377891	5389588				islandpick=100.0;SIGI-HMM=90.0;Centroid=99.1;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
668	NC_009665.1	Shewanella baltica OS185	3058155	3064048				
669	NC_009485.1	Bradyrhizobium sp. BTAi1	3341469	3345503				
670	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	2212476	2222390				
671	NC_008750.1		454304	473320				islandpick=100.0;SIGI-HMM=100.0;Centroid=89.5;DIMOB=70.0;PAI_IDA=100.0;DINUC=70.0;Alien_Hunter=99.8
672	NC_008595.1	Mycobacterium avium 104	776056	794404				
673	NC_006155.1		3918395	3936988				islandpick=100.0;SIGI-HMM=0.0;Centroid=64.5;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
674	NC_002516.2	Pseudomonas aeruginosa PAO1	696786	703161				
675	NC_009485.1	Bradyrhizobium sp. BTAi1	1294965	1337899				
676	NC_010582.1		1266101	1277967				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=0.0;Alien_Hunter=100.0
677	NC_005071.1	Prochlorococcus marinus str. MIT 9313	2237314	2242425				
678	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2801336	2812913				
679	NC_009665.1	Shewanella baltica OS185	4735089	4747456				
680	NC_009485.1	Bradyrhizobium sp. BTAi1	2024212	2035623				
681	NC_008595.1	Mycobacterium avium 104	2706528	2711548				
682	NC_008563.1	Escherichia coli APEC O1	3123310	3136858				
683	NC_007778.1	Rhodopseudomonas palustris HaA2	1072302	1077872				
684	NC_009445.1	Bradyrhizobium sp. ORS278	3789921	3834510				
685	NC_007946.1		2598722	2621065				islandpick=100.0;SIGI-HMM=63.4;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=83.0
686	NC_002516.2	Pseudomonas aeruginosa PAO1	1840403	1849943				
687	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	1801156	1811215				
688	NC_004578.1		3613274	3621716				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
689	NC_009665.1	Shewanella baltica OS185	5086003	5091574				
690	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1889186	1901485				
691	NC_008253.1		3954645	3973938				islandpick=100.0;SIGI-HMM=81.1;Centroid=51.5;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
692	NC_004431.1	Escherichia coli CFT073	3452688	3461207				
693	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1806491	1815569				
694	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	3183037	3214629				
695	NC_010322.1	Pseudomonas putida GB-1	589291	607080				
696	NC_009080.1	Burkholderia mallei NCTC 10247 chromosome I, complete sequence.	2265277	2300118				
697	NC_007005.1	Pseudomonas syringae pv. syringae B728a	3041818	3046743				
698	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1780185	1806433				
699	NC_007761.1	Rhizobium etli CFN 42	1431258	1438336				
700	NC_008563.1	Escherichia coli APEC O1	4737027	4743172				
701	NC_004337.1		237940	252748				islandpick=100.0;SIGI-HMM=16.6;Centroid=0.0;DIMOB=90.7;PAI_IDA=0.0;DINUC=90.7;Alien_Hunter=100.0
702	NC_007384.1	Shigella sonnei Ss046	2883177	2887428				
703	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2504590	2517986				
704	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1924812	1933304				
705	NC_002695.1	Escherichia coli O157:H7 str. Sakai	4580864	4624313			Hayashi et al., 2001, DNA Res	
706	NC_009485.1	Bradyrhizobium sp. BTAi1	7602275	7629774				
707	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	3173300	3179048				
708	NC_010322.1	Pseudomonas putida GB-1	3786574	3794673				
709	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	415070	423505				
710	NC_010102.1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4492832	4498169				
711	NC_005773.3		5623010	5642436				islandpick=100.0;SIGI-HMM=6.0;Centroid=12.5;DIMOB=4.3;PAI_IDA=12.5;DINUC=55.3;Alien_Hunter=92.7
712	NC_008563.1	Escherichia coli APEC O1	3337280	3341767				
713	NC_007384.1	Shigella sonnei Ss046	1866301	1875760				
714	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	151718	156534				
715	NC_009485.1	Bradyrhizobium sp. BTAi1	7798078	7808720				
716	NC_002944.2	Mycobacterium avium subsp. paratuberculosis K-10	1877242	1886352				
717	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	1893263	1922552			Baba et al., 2002, The Lancet	
718	NC_009485.1	Bradyrhizobium sp. BTAi1	2004202	2009759				
719	NC_010501.1	Pseudomonas putida W619	3345975	3352025				
720	NC_007005.1	Pseudomonas syringae pv. syringae B728a	849328	854825				
721	NC_010102.1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4572570	4580337				
722	NC_005945.1	Bacillus anthracis str. Sterne	5005429	5013202				
723	NC_009445.1	Bradyrhizobium sp. ORS278	6625900	6645961				
724	NC_010501.1		3698357	3710437				islandpick=100.0;SIGI-HMM=54.9;Centroid=0.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=87.8;Alien_Hunter=100.0
725	NC_009708.1	Yersinia pseudotuberculosis IP 31758	899024	904008				
726	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	1564830	1569366				
727	NC_009485.1	Bradyrhizobium sp. BTAi1	1665537	1683866				
728	NC_009665.1	Shewanella baltica OS185	5096245	5106866				
729	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1472577	1481533				
730	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1794393	1807026				
731	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1746826	1791815			Parkhill et al., 2001, Nature	
732	NC_009256.1		2183688	2194663				islandpick=100.0;SIGI-HMM=46.2;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
733	NC_004459.2		68454	110789				islandpick=100.0;SIGI-HMM=13.7;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=87.2
734	NC_004431.1	Escherichia coli CFT073	327267	348601				
735	NC_009445.1		7321328	7331644				islandpick=100.0;SIGI-HMM=82.7;Centroid=35.3;DIMOB=0.0;PAI_IDA=100.0;DINUC=16.1;Alien_Hunter=100.0
736	NC_009512.1	Pseudomonas putida F1	3343198	3351318				
737	NC_010501.1	Pseudomonas putida W619	5743496	5753802				
738	NC_009512.1		3352565	3368599				islandpick=100.0;SIGI-HMM=0.0;Centroid=9.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=76.7
739	NC_010582.1	Streptococcus pneumoniae CGSP14	343926	354348				
740	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	2845363	2860924				
741	NC_010322.1	Pseudomonas putida GB-1	3985623	3990871				
742	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1325167	1332166				
743	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	3566114	3579705				
744	NC_009801.1	Escherichia coli E24377A	3409028	3421108				
745	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2830156	2835668				
746	NC_009445.1	Bradyrhizobium sp. ORS278	5008663	5014406				
747	NC_009445.1	Bradyrhizobium sp. ORS278	1361247	1372212				
748	NC_008595.1	Mycobacterium avium 104	2548052	2555334				
749	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	2128294	2136580				
750	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	831557	835887				
751	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	880385	896561				
752	NC_009085.1		783447	797399				islandpick=100.0;SIGI-HMM=89.8;Centroid=100.0;DIMOB=84.8;PAI_IDA=100.0;DINUC=84.8;Alien_Hunter=92.0
753	NC_005139.1	Vibrio vulnificus YJ016 chromosome I, complete sequence.	143180	155865				
754	NC_010501.1		2622904	2633833				islandpick=100.0;SIGI-HMM=92.3;Centroid=100.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
755	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	1098471	1123199				
756	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	2211167	2215853				
757	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2399893	2411136				
758	NC_008595.1	Mycobacterium avium 104	2668498	2674978				
759	NC_010465.1	Yersinia pseudotuberculosis YPIII	803426	825520				
760	NC_010322.1	Pseudomonas putida GB-1	2465249	2482264				
761	NC_004431.1	Escherichia coli CFT073	2322112	2328410				
762	NC_010498.1	Escherichia coli SECEC SMS-3-5	3233956	3240438				
763	NC_009485.1	Bradyrhizobium sp. BTAi1	7118792	7130991				
764	NC_009438.1	Shewanella putrefaciens CN-32	2064724	2070163				
765	NC_009438.1	Shewanella putrefaciens CN-32	4083688	4103477				
766	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	372890	378665				
767	NC_007946.1	Escherichia coli UTI89	4994418	4999485				
768	NC_010501.1		3571802	3606135				islandpick=100.0;SIGI-HMM=100.0;Centroid=35.0;DIMOB=0.0;PAI_IDA=87.4;DINUC=0.0;Alien_Hunter=100.0
769	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	2082082	2086193				
770	NC_004368.1	Streptococcus agalactiae NEM316	1013018	1033922				
771	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	2301886	2305969				
772	NC_008253.1	Escherichia coli 536	2041618	2058109				
773	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	2569947	2592029				
774	NC_009708.1	Yersinia pseudotuberculosis IP 31758	4157265	4200508				
775	NC_010084.1	Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence.	2012464	2018699				
776	NC_009801.1		3328173	3341172				islandpick=100.0;SIGI-HMM=12.5;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=15.2
777	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	2647363	2653134				
778	NC_008253.1	Escherichia coli 536	4752049	4757592				
779	NC_008563.1	Escherichia coli APEC O1	3139441	3155292				
780	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	1871922	1887043				
781	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1352109	1360254				
782	NC_005945.1	Bacillus anthracis str. Sterne	3051444	3055895				
783	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	1489786	1503658				
784	NC_010322.1	Pseudomonas putida GB-1	4413368	4419046				
785	NC_010501.1	Pseudomonas putida W619	1874769	1892121				
786	NC_009801.1		2172995	2221099				islandpick=100.0;SIGI-HMM=55.9;Centroid=0.0;DIMOB=69.8;PAI_IDA=0.0;DINUC=69.8;Alien_Hunter=76.4
787	NC_008750.1	Shewanella sp. W3-18-1	1231170	1314518				
788	NC_007434.1		2445816	2457133				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
789	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	601516	607127				
790	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2031276	2040571				
791	NC_007958.1	Rhodopseudomonas palustris BisB5	4073927	4091274				
792	NC_009445.1	Bradyrhizobium sp. ORS278	2313636	2317656				
793	NC_010501.1	Pseudomonas putida W619	2367362	2377046				
794	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	211383	217398				
795	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1370511	1375925				
796	NC_009901.1	Shewanella pealeana ATCC 700345	1833596	1846907				
797	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	2245865	2250640				
798	NC_010334.1	Shewanella halifaxensis HAW-EB4	784634	808858				
799	NC_009485.1		1532435	1542123				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=91.2;PAI_IDA=0.0;DINUC=91.2;Alien_Hunter=100.0
800	NC_010612.1		4817155	4845662				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=55.8
801	NC_009485.1	Bradyrhizobium sp. BTAi1	589073	601208				
802	NC_006155.1	Yersinia pseudotuberculosis IP 32953	2168874	2194607				
803	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1894917	1899648				
804	NC_009512.1	Pseudomonas putida F1	4515633	4523140				
805	NC_006905.1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	2866086	2870656				
806	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2979136	2984526				
807	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1749728	1755163				
808	NC_004116.1	Streptococcus agalactiae 2603V/R	926730	941496				
809	NC_010465.1	Yersinia pseudotuberculosis YPIII	4139183	4144444				
810	NC_009512.1	Pseudomonas putida F1	2391614	2397241				
811	NC_010498.1	Escherichia coli SECEC SMS-3-5	1136231	1147787				
812	NC_004431.1		1182743	1191603				islandpick=100.0;SIGI-HMM=83.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
813	NC_004578.1		2566662	2581182				islandpick=100.0;SIGI-HMM=12.9;Centroid=91.9;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
814	NC_004431.1	Escherichia coli CFT073	2322324	2365868			Lloyd et al., 2007 J Bacteriol	
815	NC_009485.1		6909739	6917896				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=76.1
816	NC_006155.1	Yersinia pseudotuberculosis IP 32953	4098398	4102778				
817	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	1213251	1222357				
818	NC_007761.1	Rhizobium etli CFN 42	622801	632013				
819	NC_008022.1	Streptococcus pyogenes MGAS10270	791058	805632				
820	NC_000913.2		289660	297702				islandpick=100.0;SIGI-HMM=100.0;Centroid=29.1;DIMOB=83.5;PAI_IDA=4.2;DINUC=83.5;Alien_Hunter=100.0
821	NC_004070.1	Streptococcus pyogenes MGAS315	1259882	1270532				
822	NC_002655.2		1261803	1273783				islandpick=100.0;SIGI-HMM=18.9;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=65.4;Alien_Hunter=18.1
823	NC_008022.1	Streptococcus pyogenes MGAS10270	1841860	1848556				
824	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	947244	951377				
825	NC_003997.3		4841752	4858386				islandpick=100.0;SIGI-HMM=23.8;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=21.4;Alien_Hunter=65.4
826	NC_002516.2	Pseudomonas aeruginosa PAO1	1496897	1516701				
827	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1643578	1653811				
828	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	389318	393907				
829	NC_009512.1	Pseudomonas putida F1	3080796	3085106				
830	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	1687824	1698756				
